Brand,PromoBin,Volume,Weeks,CentroidPct,Volume%,Vol/Week
heinz_allvariant,heinz_allvariant_small_Promo1,15903.32,122,1.2209836065573771,83.5,130.4
heinz_allvariant,heinz_allvariant_small_Promo2,3112.5299999999997,27,16.07,16.4,115.3
heinz_allvariant,heinz_allvariant_small_Promo3,19.125,4,54.88,0.1,4.8
restofcategory_allvariant,restofcategory_allvariant_small_Promo1,4028.83,96,3.013541666666667,16.1,42.0
restofcategory_allvariant,restofcategory_allvariant_small_Promo2,20940.955,97,82.15,83.9,215.9
